id,children_ids/id,account_type_ids/id,display_detail,style_overwrite,name,sequence,sign,type
account.999_draft_net_income_view,,,Display children flat,Automatic formatting,ZZ-Report Calculation,0,Preserve balance sign,View
account.999_draft_net_income,,"account.data_account_type_other_income,account.data_account_type_revenue,account.data_account_type_depreciation,account.data_account_type_expenses,account.data_account_type_direct_costs,l10n_tw_standard_ifrss.account_type_non-operating_expenses,l10n_tw_standard_ifrss.account_type_income_tax_expense",No detail,Automatic formatting,zi-Net income,100,Reverse balance sign,Account Type
account.taiwan_income_statement,,,Display children flat,Automatic formatting,TWIS 台灣會計報表-綜合損益表,0,Reverse balance sign,View
account.4000_sales,,account.data_account_type_revenue,Display children with hierarchy,Automatic formatting,4000-銷貨收入,4000,Reverse balance sign,Account Type
account.5000_cogs,,account.data_account_type_direct_costs,Display children with hierarchy,Automatic formatting,5000-銷貨成本,5000,Reverse balance sign,Account Type
account.5900_gross_profit,,"account.data_account_type_revenue,account.data_account_type_direct_costs",No detail,Automatic formatting,5900-銷貨毛利,5900,Reverse balance sign,Report Value
account.6000_operating_expenses,,"account.data_account_type_depreciation,account.data_account_type_expenses",Display children with hierarchy,Automatic formatting,6000-營業費用,6000,Reverse balance sign,Account Type
account.6900_operating_income,,"account.data_account_type_revenue,account.data_account_type_depreciation,account.data_account_type_expenses,account.data_account_type_direct_costs",No detail,Automatic formatting,6900-營業利益,6900,Reverse balance sign,Report Value
account.7000_non_op_income,,account.data_account_type_other_income,Display children with hierarchy,Automatic formatting,7000-營業外收入,7000,Reverse balance sign,Account Type
account.7500_non_op_exp,,l10n_tw_standard_ifrss.account_type_non-operating_expenses,Display children with hierarchy,Automatic formatting,7500-營業外支出,7500,Reverse balance sign,Account Type
account.7900_Pre_tax_profit,,"account.data_account_type_revenue,account.data_account_type_direct_costs",No detail,Automatic formatting,7900-稅前損益,7900,Reverse balance sign,Report Value
account.7950_income_tax_expense,,l10n_tw_standard_ifrss.account_type_income_tax_expense,Display children with hierarchy,Automatic formatting,7950-所得稅費用(利益),7950,Reverse balance sign,Account Type
account.8500_net_income,,,Display children flat,Automatic formatting,8500-營業淨利,8500,Reverse balance sign,Report Value
account.taiwan_balance_sheet,,,Display children flat,Automatic formatting,TWBS  台灣會計報表-資產負債表,0,Preserve balance sign,View
account.10xx_current_assets,,"account.data_account_type_receivable,account.data_account_type_liquidity,account.data_account_type_credit_card,account.data_account_type_current_assets,account.data_account_type_prepayments",Display children with hierarchy,Automatic formatting,10XX-流動資產,1000,Preserve balance sign,Account Type
account.15xx_non_current_assets,,"account.data_account_type_non_current_assets,account.data_account_type_fixed_assets",Display children flat,Automatic formatting,15XX-非流動資產,1500,Preserve balance sign,Account Type
account.20xx_current_liabilities,,"account.data_account_type_payable,account.data_account_type_current_liabilities",Display children with hierarchy,Automatic formatting,20XX-流動負債,2000,Reverse balance sign,Account Type
account.25xx_non_current_liabilities,,account.data_account_type_non_current_liabilities,Display children with hierarchy,Automatic formatting,25XX-非流動負債,2500,Reverse balance sign,Account Type
account.30xx_equity,,account.data_account_type_equity,Display children with hierarchy,Automatic formatting,30XX-業主權益,3000,Reverse balance sign,Account Type
account.a_assets,,,Display children flat,Automatic formatting,A-資產,1000,Preserve balance sign,View
account.l_liabilities,,,Display children flat,Automatic formatting,L-負債,2000,Reverse balance sign,View
account.e_equity,,,Display children flat,Automatic formatting,E-權益,3000,Reverse balance sign,View
account.3990_net_income,,,Display children flat,Automatic formatting,3990-本期損益,3999,Reverse balance sign,Report Value
account.account_financial_report_31,,,Display children flat,Automatic formatting,資產總額,1200,Preserve balance sign,Report Value
account.account_financial_report_32,,,Display children flat,Automatic formatting,負債總額,2200,Reverse balance sign,Report Value
account.account_financial_report_33,,"account.data_account_type_revenue,account.data_account_type_direct_costs",No detail,Automatic formatting,zi-Gross profit,10,Reverse balance sign,Account Type
account.account_financial_report_34,,"account.data_account_type_revenue,account.data_account_type_depreciation,account.data_account_type_expenses,account.data_account_type_direct_costs",No detail,Automatic formatting,zi-operating income,20,Reverse balance sign,Account Type
account.account_financial_report_35,,"account.data_account_type_other_income,account.data_account_type_revenue,account.data_account_type_depreciation,account.data_account_type_expenses,account.data_account_type_direct_costs,l10n_tw_standard_ifrss.account_type_non-operating_expenses",No detail,Automatic formatting,zi-Pre-tax profit,60,Reverse balance sign,Account Type
account.account_financial_report_36,,,Display children flat,Automatic formatting,zb-b/s net income,200,Preserve balance sign,View
account.account_financial_report_37,,,Display children flat,Automatic formatting,zb-return earning all years,100,Preserve balance sign,Report Value
account.account_financial_report_38,,account.data_unaffected_earnings,Display children flat,Automatic formatting,zb-return earning/last year,200,Preserve balance sign,Account Type
account.account_financial_report_39,,,Display children flat,Automatic formatting,7XXX-營業外收入及支出,7000,Preserve balance sign,View
account.account_financial_report_40,,,Display children flat,Automatic formatting,負債及權益總額,3200,Reverse balance sign,Report Value
account.account_financial_report_41,,,Display children flat,Automatic formatting,zb-E+L,0,Reverse balance sign,View
account.account_financial_report_42,,,Display children flat,Automatic formatting,zb-E+L,0,Reverse balance sign,Report Value
account.account_financial_report_43,,,Display children flat,Automatic formatting,zb-E+L,0,Reverse balance sign,Report Value
